feature,VIF
age,19.934318494150823
srh,12.200379745000834
education,6.546692274210895
drink,5.035881663447111
married,3.0618586867649533
adl,2.4084486948040142
iadl,2.373728655140353
hibpe,2.249249321154905
gender,1.9903947363540118
arthre,1.8437617352281352
hearte,1.3889791351861505
depression,1.3310544850035777
diabe,1.3257553496612908
smoken,1.2413693583980694
stroke,1.18877632263087
lunge,1.1631027760271127
cancre,1.1356865106481253
