Model,AUC,AUC_95CI_Lower,AUC_95CI_Upper,Brier,LogLoss
Logistic Regression,0.8457477826823397,0.8419204694227737,0.8496089589267033,0.08282345382349816,0.28151578173137415
Gradient Boosting,0.8695172069113337,0.8661558565837213,0.8727717733325446,0.07650863804037998,0.2595002485176794
